"Date and Time Run 1","Time (s) Run 1","Force, 964-462 (N) Run 1","Acceleration - x, 964-462 (m/s²) Run 1","Acceleration - y, 964-462 (m/s²) Run 1","Acceleration - z, 964-462 (m/s²) Run 1","Acceleration - resultant, 964-462 (m/s²) Run 1","Force, 946-449 (N) Run 1","Acceleration - x, 946-449 (m/s²) Run 1","Acceleration - y, 946-449 (m/s²) Run 1","Acceleration - z, 946-449 (m/s²) Run 1","Acceleration - resultant, 946-449 (m/s²) Run 1","Force, 969-321 (N) Run 1","Acceleration - x, 969-321 (m/s²) Run 1","Acceleration - y, 969-321 (m/s²) Run 1","Acceleration - z, 969-321 (m/s²) Run 1","Acceleration - resultant, 969-321 (m/s²) Run 1","Force, 966-489 (N) Run 1","Acceleration - x, 966-489 (m/s²) Run 1","Acceleration - y, 966-489 (m/s²) Run 1","Acceleration - z, 966-489 (m/s²) Run 1","Acceleration - resultant, 966-489 (m/s²) Run 1"
03/29/2026 03:49:00 pm,0.210,-0.25,0.0,-0.1,9.8,9.8,-0.17,-0.4,-0.3,9.9,9.9,-0.27,-0.2,-0.1,9.9,9.9,0.97,-0.1,0.0,9.8,9.8
03/29/2026 03:49:00 pm,0.220,-0.26,0.0,-0.1,9.8,9.8,-0.18,-0.3,-0.3,9.9,9.9,-0.29,-0.2,-0.2,9.9,9.9,0.97,-0.1,0.0,9.9,9.9
03/29/2026 03:49:00 pm,0.230,-0.25,0.0,0.0,9.8,9.8,-0.17,-0.4,-0.3,9.9,9.9,-0.28,-0.2,-0.2,9.9,9.9,0.96,-0.1,0.0,9.9,9.9
03/29/2026 03:49:00 pm,0.240,-0.24,0.0,0.0,9.9,9.9,-0.19,-0.4,-0.3,9.9,9.9,-0.30,-0.2,-0.2,9.9,9.9,0.95,-0.1,0.0,9.9,9.9
03/29/2026 03:49:00 pm,0.250,-0.26,0.0,0.0,9.8,9.8,-0.17,-0.4,-0.3,9.9,9.9,-0.28,-0.2,-0.2,9.9,9.9,0.96,-0.1,0.0,9.9,9.9
03/29/2026 03:49:00 pm,0.260,-0.23,0.0,0.0,9.8,9.8,-0.15,-0.4,-0.3,9.9,9.9,-0.28,-0.2,-0.2,9.9,9.9,0.95,-0.1,0.0,9.9,9.9
03/29/2026 03:49:00 pm,0.270,-0.23,0.0,0.0,9.8,9.8,-0.16,-0.3,-0.3,9.9,9.9,-0.27,-0.2,-0.1,9.9,9.9,0.96,-0.1,0.0,9.9,9.9
03/29/2026 03:49:00 pm,0.280,-0.24,0.0,0.0,9.8,9.8,-0.16,-0.3,-0.3,9.9,9.9,-0.27,-0.2,-0.1,9.9,9.9,0.96,-0.1,0.0,9.9,9.9
03/29/2026 03:49:00 pm,0.290,-0.25,0.0,0.0,9.8,9.8,-0.16,-0.4,-0.3,9.9,9.9,-0.29,-0.2,-0.1,9.9,9.9,0.95,-0.1,0.0,9.8,9.8
03/29/2026 03:49:00 pm,0.300,-0.25,0.0,0.0,9.8,9.8,-0.16,-0.4,-0.2,9.9,9.9,-0.29,-0.2,-0.1,9.9,9.9,0.94,-0.1,0.0,9.9,9.9
03/29/2026 03:49:00 pm,0.310,-0.25,0.0,0.0,9.8,9.8,-0.15,-0.4,-0.2,9.9,9.9,-0.29,-0.2,-0.2,9.9,9.9,0.94,-0.1,0.0,9.9,9.9
03/29/2026 03:49:00 pm,0.320,-0.25,0.0,0.0,9.8,9.8,-0.16,-0.4,-0.3,9.9,9.9,-0.28,-0.2,-0.1,9.9,9.9,0.96,-0.1,0.0,9.9,9.9
03/29/2026 03:49:00 pm,0.330,-0.25,0.0,0.0,9.8,9.8,-0.17,-0.4,-0.3,9.9,9.9,-0.27,-0.2,-0.1,9.9,9.9,0.97,-0.1,0.0,9.9,9.9
03/29/2026 03:49:00 pm,0.340,-0.26,0.0,0.0,9.8,9.8,-0.16,-0.3,-0.3,9.9,9.9,-0.27,-0.2,-0.1,9.9,9.9,0.96,-0.1,0.0,9.9,9.9
03/29/2026 03:49:00 pm,0.350,-0.23,0.0,0.0,9.8,9.8,-0.15,-0.3,-0.3,9.9,9.9,-0.27,-0.2,-0.1,9.9,9.9,0.96,-0.1,0.0,9.9,9.9
03/29/2026 03:49:00 pm,0.360,-0.24,0.0,0.0,9.8,9.8,-0.16,-0.3,-0.3,9.9,9.9,-0.27,-0.2,-0.2,9.9,9.9,0.96,-0.1,0.0,9.9,9.9
03/29/2026 03:49:00 pm,0.370,-0.23,0.0,0.0,9.8,9.8,-0.17,-0.4,-0.3,9.9,9.9,-0.27,-0.2,-0.2,9.9,9.9,0.97,-0.1,0.0,9.9,9.9
03/29/2026 03:49:00 pm,0.380,-0.25,0.0,0.0,9.8,9.8,-0.17,-0.4,-0.2,9.9,9.9,-0.27,-0.2,-0.2,9.9,9.9,0.97,-0.1,0.0,9.9,9.9
03/29/2026 03:49:00 pm,0.390,-0.24,0.0,0.0,9.8,9.8,-0.17,-0.4,-0.3,9.9,9.9,-0.26,-0.2,-0.1,9.9,9.9,0.98,-0.1,0.0,9.9,9.9
03/29/2026 03:49:00 pm,0.400,-0.24,0.0,0.0,9.8,9.8,-0.16,-0.4,-0.3,9.9,9.9,-0.27,-0.2,-0.1,9.9,9.9,0.98,-0.1,0.0,9.8,9.8
03/29/2026 03:49:00 pm,0.410,-0.24,0.0,-0.1,9.8,9.8,-0.16,-0.3,-0.3,9.9,9.9,-0.27,-0.2,-0.1,9.9,9.9,0.97,-0.1,0.0,9.8,9.8
03/29/2026 03:49:00 pm,0.420,-0.24,0.0,-0.1,9.8,9.8,-0.16,-0.3,-0.3,9.9,9.9,-0.28,-0.2,-0.1,9.9,9.9,0.98,-0.1,0.0,9.9,9.9
03/29/2026 03:49:00 pm,0.430,-0.25,0.0,0.0,9.8,9.8,-0.17,-0.4,-0.2,9.9,9.9,-0.27,-0.2,-0.1,9.9,9.9,0.98,-0.1,0.0,9.9,9.9
03/29/2026 03:49:00 pm,0.440,-0.26,0.0,0.0,9.8,9.8,-0.15,-0.4,-0.2,9.9,9.9,-0.27,-0.2,-0.1,9.9,9.9,0.98,-0.1,0.0,9.9,9.9
03/29/2026 03:49:00 pm,0.450,-0.25,0.0,0.0,9.8,9.8,-0.15,-0.4,-0.3,9.9,9.9,-0.26,-0.2,-0.1,9.9,9.9,0.99,-0.1,0.0,9.8,9.8
03/29/2026 03:49:00 pm,0.460,-0.24,0.0,0.0,9.8,9.8,-0.15,-0.4,-0.2,9.9,9.9,-0.28,-0.2,-0.2,9.9,9.9,0.98,-0.1,0.0,9.8,9.8
03/29/2026 03:49:00 pm,0.470,-0.24,0.0,-0.1,9.8,9.8,-0.14,-0.3,-0.3,9.9,9.9,-0.27,-0.2,-0.2,9.9,9.9,0.97,-0.1,0.0,9.9,9.9
